Panel number,Suggested probability,agent 1,agent 2,agent 3,agent 4,agent 5,agent 6,agent 7,agent 8,agent 9,agent 10,agent 11,agent 12,agent 13,agent 14,agent 15,agent 16,agent 17,agent 18,agent 19,agent 20,agent 21,agent 22,agent 23,agent 24,agent 25,agent 26,agent 27,agent 28,agent 29,agent 30,agent 31,agent 32,agent 33,agent 34,agent 35
28,0.0026256269201669624,"109","120","149","152","258","288","290","305","307","32","382","384","411","435","443","476","500","582","62","637","695","696","745","75","753","785","811","887","900","906","91","92","935","982","99"
29,0.0026675797140155205,"173","212","217","220","242","268","275","283","406","408","409","435","443","50","59","593","678","713","733","753","769","827","834","835","838","841","845","851","870","900","906","91","928","936","963"
30,0.0006232930892078612,"106","19","204","222","232","274","32","342","373","387","434","435","475","532","534","578","580","586","625","631","722","729","744","778","788","799","843","862","863","870","900","935","94","951","975"
31,0.0017402647757233944,"11","162","191","208","234","276","292","318","34","350","368","371","392","435","443","496","499","535","570","590","6","728","742","750","762","766","794","868","900","906","966","967","986","99","991"
32,0.001407123752085875,"120","152","186","273","299","308","32","379","381","435","443","573","64","702","726","727","75","752","755","756","758","784","809","829","842","878","900","906","91","94","948","957","967","990","995"
33,0.001545858374861031,"127","152","163","224","229","245","313","356","434","435","443","541","585","702","776","791","817","832","833","842","857","892","896","900","905","906","931","936","937","945","955","958","970","993","995"
34,0.0013068779824400292,"106","108","111","120","134","150","152","254","298","32","395","435","442","443","451","459","479","544","552","553","597","61","655","675","715","736","75","756","782","786","906","91","919","923","989"
35,0.0004292700129065324,"103","113","115","173","177","205","223","29","357","389","400","401","404","41","414","435","443","474","482","493","591","636","663","678","679","74","758","842","860","865","886","897","900","906","999"
36,0.0012069847602169128,"119","152","179","195","208","299","306","335","369","389","402","434","435","443","460","482","499","516","605","628","634","669","740","770","809","82","839","86","878","900","901","906","922","957","983"
37,8.804403342611769e-06,"108","231","233","240","246","272","281","304","330","386","394","422","43","435","443","452","468","543","548","61","652","658","701","714","75","789","795","810","839","900","906","93","931","958","97"
38,0.0009304887753672213,"152","158","237","299","304","309","310","312","320","359","377","396","411","435","443","457","487","499","516","550","556","58","6","64","651","764","8","870","878","887","900","906","91","957","991"
39,0.0020289824794424752,"11","110","111","168","229","27","308","322","368","399","40","422","435","443","461","469","475","476","482","490","52","535","62","670","713","728","762","817","864","899","900","903","906","908","962"
40,0.0010189541016875404,"106","128","134","158","173","2","206","209","227","228","233","238","358","364","365","410","435","443","488","506","536","59","596","633","661","717","778","779","853","898","900","906","936","951","961"
41,0.002389433018308935,"152","158","166","167","176","276","284","30","371","387","434","435","443","490","557","570","585","625","702","722","740","742","750","766","767","793","823","864","869","886","888","900","906","995","999"
42,0.0014812620658690482,"143","168","19","20","235","265","268","281","286","35","372","422","424","435","443","464","475","483","484","499","541","631","64","658","693","79","797","810","848","849","859","900","906","971","991"
43,0.0015068644152253193,"106","13","159","173","250","300","329","344","357","394","395","422","429","435","46","475","484","540","541","544","591","678","69","707","713","714","722","753","792","805","844","856","954","975","978"
44,0.0011101629751918817,"106","114","195","208","231","232","259","273","304","32","320","345","379","381","422","435","439","443","532","573","578","580","583","59","64","688","729","744","75","752","850","900","906","91","94"
45,0.0007718021502931423,"106","120","13","152","176","192","221","236","301","313","32","323","349","355","384","435","443","506","562","564","569","59","672","674","710","75","818","877","900","906","91","93","934","967","999"
46,0.000898570729798719,"120","170","173","247","268","274","289","32","326","336","35","399","423","432","434","435","441","443","476","487","491","526","62","633","638","68","725","802","804","847","87","904","906","91","946"
47,0.001470138551247237,"102","146","152","21","215","248","270","274","368","388","399","405","435","443","504","516","532","541","622","649","7","734","745","837","885","900","906","912","913","918","936","940","942","958","963"
48,0.0017417482140033647,"100","150","152","22","229","255","273","346","374","381","387","407","434","435","491","499","500","527","617","620","625","626","643","669","740","745","752","756","768","77","773","817","840","900","906"
49,0.000806640960478188,"113","13","145","152","186","243","256","257","258","294","31","332","363","368","391","435","443","463","489","549","558","59","61","646","663","771","803","806","808","90","900","906","91","924","974"
50,0.0008692278895617124,"101","107","113","114","152","186","192","202","216","218","258","272","31","336","350","363","368","387","435","436","443","468","474","516","651","653","688","701","737","743","847","850","87","900","906"
51,0.000764861439651943,"106","152","198","203","205","231","237","304","32","422","428","429","435","443","474","475","551","59","612","629","635","651","652","653","663","664","672","674","679","730","75","860","906","914","948"
52,0.0013381331323580777,"106","120","124","129","134","141","152","154","167","239","242","255","32","435","437","443","50","55","593","61","610","71","713","745","75","753","760","818","882","906","91","939","947","949","980"
53,0.0011818235711383968,"108","119","164","168","2","274","281","299","330","357","386","399","430","433","435","443","504","511","536","591","658","678","78","809","810","86","878","900","906","91","912","928","93","957","961"
54,0.001178192598585498,"106","113","13","152","186","216","218","258","271","319","32","335","363","385","40","414","418","435","443","451","514","558","59","61","65","699","704","710","74","75","8","809","878","906","974"
55,0.0012322095567701124,"128","136","150","152","248","307","314","317","321","399","411","413","426","435","443","493","500","531","669","680","684","687","690","691","695","71","740","745","757","760","811","869","900","906","92"
56,0.0025338001588305187,"152","177","186","2","20","225","228","258","300","339","363","368","369","376","387","400","41","435","443","452","454","486","542","554","589","636","642","702","770","833","900","906","961","968","995"
57,0.0015205580126513775,"111","120","150","152","186","207","226","230","274","275","283","302","32","329","337","338","37","394","399","435","443","576","577","645","658","714","733","75","792","810","826","900","906","91","954"
58,0.0011853253429707443,"114","127","133","152","279","326","338","345","369","435","443","482","496","499","526","589","645","669","686","688","704","740","746","747","749","770","8","850","892","900","906","922","967","995","999"
59,0.00011049904665004028,"152","155","157","182","211","306","32","333","38","39","392","397","435","443","470","475","499","5","513","547","554","590","6","60","628","634","701","741","75","794","833","900","906","928","983"
60,0.0005234643695131896,"1","104","106","13","136","137","186","230","258","3","306","32","344","356","363","368","430","435","443","521","537","551","613","628","778","780","832","900","906","937","951","956","969","972","996"
61,0.000812174538488194,"191","205","274","305","314","317","399","431","435","443","445","499","531","551","564","569","589","595","669","678","679","680","684","696","701","710","736","762","820","868","885","900","906","985","999"
62,0.0013012007207042439,"101","145","186","191","211","244","288","290","292","306","311","338","384","435","443","500","591","625","645","707","722","737","743","745","792","868","900","906","928","954","955","958","964","982","996"
63,0.002425442414227988,"116","136","302","314","32","340","342","352","42","435","443","456","482","524","526","588","603","650","680","684","694","697","700","722","725","745","842","862","870","872","900","906","950","985","995"
64,0.0015022257498822022,"106","120","134","150","176","213","266","32","343","4","40","416","435","443","500","520","576","577","644","687","690","71","713","745","75","8","805","835","84","874","879","900","906","91","994"
65,0.001374934116333857,"113","123","13","152","165","186","219","236","244","251","258","264","269","279","300","32","331","363","435","443","508","567","571","59","594","599","61","617","622","629","662","828","900","906","91"
66,0.0005264702540720507,"106","113","134","152","158","186","191","20","208","231","258","287","369","376","435","443","445","521","551","59","703","708","716","741","749","75","76","763","770","846","868","885","906","907","968"
67,0.00022116179075600928,"129","135","142","143","148","180","274","337","344","353","357","435","443","447","462","473","481","485","493","519","591","678","713","753","848","849","859","867","900","906","91","928","935","947","949"
68,0.00038912064873892425,"106","122","151","204","223","227","235","268","29","32","330","338","406","435","443","453","48","531","550","556","577","645","746","747","797","838","843","861","900","906","916","93","950","958","985"
69,5.546780887976853e-05,"108","152","234","244","245","258","27","288","290","363","382","419","430","435","487","499","517","551","614","62","669","726","727","740","785","833","842","86","881","884","885","906","964","982","991"
70,0.0018465305324164862,"120","13","134","150","156","173","18","198","227","252","277","278","368","400","435","443","478","510","555","605","611","640","675","736","778","781","860","889","900","906","91","925","927","951","96"
71,0.0014981776799289645,"113","12","134","177","220","227","23","233","237","304","339","387","402","435","443","460","464","474","527","546","642","76","819","825","827","834","835","840","885","900","901","906","913","936","943"
72,0.0007768624446530256,"107","112","17","174","202","212","25","412","435","441","443","487","499","507","510","524","552","57","669","702","730","731","740","761","801","830","845","900","904","906","967","979","991","995","999"
73,9.443207569204209e-05,"150","168","268","274","284","294","375","413","435","443","456","504","506","52","541","57","588","591","603","639","678","694","697","724","73","732","759","767","771","787","793","900","906","913","928"
74,0.0005135632953428345,"113","120","134","136","158","173","195","263","32","351","377","390","396","435","443","518","560","563","580","584","588","59","623","627","639","648","72","724","75","823","836","88","900","906","91"
75,0.0014018643090404942,"101","114","147","149","152","184","186","190","258","351","363","387","395","417","435","443","445","554","598","617","618","624","651","681","688","701","794","833","850","853","876","900","906","91","917"
76,0.000658994436358694,"106","189","207","222","281","330","357","37","386","389","435","443","469","475","498","532","591","601","607","658","660","707","722","73","735","738","778","796","810","900","906","91","93","935","951"
77,0.0005909727017771285,"106","122","131","132","168","184","208","224","24","245","27","304","359","368","370","38","39","422","435","443","449","508","567","604","608","701","75","780","831","900","906","911","931","945","958"
78,0.00125544770385244,"152","16","161","201","242","248","283","333","359","397","434","435","443","50","504","522","531","533","591","593","60","61","67","687","692","70","702","733","741","760","900","906","928","995","996"
79,0.0017242992056363535,"1","104","120","134","179","186","194","258","291","293","3","329","404","435","443","52","537","682","706","713","73","745","80","842","85","890","895","897","900","906","91","928","950","969","972"
80,0.0018328552360861435,"139","161","186","207","208","221","258","268","281","330","361","362","363","368","386","425","435","443","496","598","600","658","698","713","735","748","753","796","810","872","9","900","906","93","976"
81,0.0015315047862561226,"106","111","120","126","210","260","329","337","344","372","378","435","443","45","464","49","504","512","541","568","609","632","641","692","70","721","772","778","79","900","906","935","951","970","985"
82,0.0016328374942410151,"101","102","108","13","144","147","149","152","186","238","258","279","32","363","388","405","432","435","443","476","484","53","56","57","61","62","653","658","675","719","900","906","91","921","950"
83,0.0010847790887243474,"127","186","225","243","258","276","363","371","391","413","435","443","463","491","496","500","504","557","570","735","737","742","743","745","750","76","763","766","892","896","900","906","907","992","995"
84,0.002257770059258696,"121","197","212","237","28","326","335","341","421","435","441","443","458","496","499","502","526","535","552","57","579","612","635","667","702","725","757","762","839","872","900","906","959","967","995"
85,0.0007578669456493114,"152","186","197","259","304","320","326","371","39","421","435","441","445","496","499","501","526","544","581","585","612","667","668","669","701","725","740","742","750","776","794","872","987","991","999"
86,0.0018992372730410362,"116","181","220","231","235","271","334","368","427","435","436","443","467","491","494","500","535","577","656","762","819","825","827","834","835","862","870","872","89","900","906","933","952","965","996"
87,0.0007824500782758707,"121","123","237","243","362","369","391","396","434","435","443","457","463","487","535","549","589","59","594","599","600","669","686","762","770","829","833","842","845","872","90","900","906","920","992"
88,0.0020875030549259367,"13","173","186","244","268","314","315","32","373","435","44","443","475","480","543","551","586","618","660","669","684","689","705","707","726","765","774","789","795","800","812","870","900","906","97"
89,0.0013565400426727913,"106","134","141","173","183","194","227","250","268","274","32","329","368","377","396","414","435","459","531","54","540","575","706","713","748","753","792","870","883","923","954","975","976","980","985"
90,0.00013093904960594907,"106","120","13","152","160","172","32","324","326","36","407","432","435","443","526","561","61","630","666","671","725","745","75","776","817","861","900","906","908","909","91","910","935","960","962"
91,0.0005454627002135481,"102","104","106","13","16","201","227","231","3","388","397","4","417","435","443","455","475","493","514","52","520","522","533","559","60","61","65","67","673","722","741","778","900","906","951"
92,0.00046968193472462664,"1000","106","129","163","169","231","304","352","394","422","435","442","443","473","639","648","701","712","720","75","764","775","794","81","863","880","900","902","905","906","931","952","958","993","999"
93,0.0012814278862326876,"152","254","268","311","318","333","34","344","376","404","435","441","443","479","491","500","535","552","58","582","69","704","727","740","741","762","765","799","866","872","897","900","906","968","996"
94,0.0008716714281262846,"113","120","128","134","152","173","186","217","243","256","258","321","342","350","391","407","435","443","447","463","481","503","527","59","643","692","70","77","778","840","869","900","906","935","947"
95,0.0007868248025159865,"106","108","110","111","127","134","150","152","160","162","164","168","172","18","267","32","364","365","419","433","435","443","48","511","596","611","661","75","777","889","892","900","906","91","983"
96,7.912984572242807e-14,"170","23","304","327","33","368","378","392","401","421","435","443","460","464","492","517","530","535","541","603","620","670","701","72","761","762","794","819","828","859","900","906","925","928","999"
97,0.0023966073598908713,"12","141","165","179","208","234","251","304","306","388","400","405","41","420","435","443","535","571","622","625","628","634","636","662","669","701","762","828","872","900","906","928","976","980","983"
98,0.001476176530950412,"186","204","258","26","264","315","363","376","385","422","435","44","443","468","473","482","5","519","525","543","547","566","582","652","689","75","833","900","906","950","967","968","974","99","995"
99,0.0019156703082090893,"103","109","120","15","227","274","285","401","435","443","472","475","477","48","491","500","531","541","582","627","637","660","664","72","745","824","83","854","871","900","906","915","952","985","99"
100,0.002253111057560598,"108","120","125","134","162","166","167","168","186","208","233","234","240","258","296","30","331","334","343","347","435","443","48","490","503","52","6","615","644","656","720","864","900","906","936"
101,0.0017434217138123794,"113","166","167","200","288","30","370","382","432","435","441","443","47","474","476","496","499","501","565","62","651","678","755","842","900","906","913","922","928","960","964","982","984","991","997"
102,0.001419230787139605,"168","225","231","235","24","243","268","368","38","380","391","422","435","449","463","475","482","493","496","499","574","633","638","735","738","748","75","796","807","911","938","946","950","977","992"
103,0.0009143596591340168,"120","134","149","152","173","185","186","187","196","21","324","386","4","426","435","443","500","687","690","691","753","8","819","825","827","834","848","849","900","906","909","91","93","950","996"
104,0.0012189247642875039,"10","106","108","120","124","13","134","160","162","222","229","232","235","29","32","35","364","365","402","435","443","460","532","596","60","61","631","661","75","777","817","847","900","906","91"
105,0.0009495283955941855,"113","14","158","173","188","191","233","275","292","297","32","357","368","435","438","445","474","518","545","591","617","668","678","798","823","836","842","868","873","885","91","936","948","95","955"
106,5.6328480971513986e-05,"10","106","120","134","144","152","18","198","217","235","25","27","29","32","35","435","442","443","466","605","611","673","693","745","75","753","797","860","889","906","91","921","96","98","981"
107,0.0016796680474749238,"106","117","120","122","134","158","208","229","284","305","307","32","34","340","412","42","435","440","443","450","59","650","695","696","700","703","708","716","75","759","783","900","906","91","999"
108,0.0009271565739507745,"106","116","120","138","152","181","303","32","349","435","443","491","493","494","500","53","58","588","60","623","627","72","745","75","799","857","863","866","88","900","906","934","970","981","996"
109,2.3603157211806213e-05,"120","150","173","188","228","259","304","334","352","387","434","435","438","439","443","496","5","506","546","547","554","583","625","656","701","712","798","873","900","906","933","943","95","99","998"
110,0.002248135417023706,"120","130","134","138","152","16","166","186","217","248","258","363","426","435","443","455","465","496","500","533","60","602","620","626","67","690","691","705","710","745","753","773","788","829","906"
111,0.0006029810647036986,"152","197","210","222","235","298","4","421","422","435","443","445","459","475","482","493","499","500","505","514","520","553","561","605","630","655","668","753","782","797","844","900","906","919","923"
112,0.0013748605853554142,"13","150","160","200","274","280","324","36","403","413","435","443","47","48","487","49","493","504","53","535","56","664","666","671","707","71","719","762","772","86","900","906","909","910","960"
113,4.0585121096540046e-13,"113","12","13","146","164","249","327","340","391","422","435","443","456","464","474","5","541","662","683","729","75","750","771","792","834","84","842","900","902","906","931","934","940","958","961"
114,0.00030873590730342757,"112","120","134","168","235","239","255","266","281","32","35","366","435","437","443","448","52","523","528","531","6","610","620","626","73","75","753","773","797","852","858","900","906","91","98"
115,0.0010050632774670954,"106","153","192","195","211","237","271","273","282","301","309","31","32","325","379","381","418","435","441","443","467","475","573","578","699","722","75","823","877","900","906","922","929","94","967"
116,0.0012714879122900256,"1","108","13","150","176","3","406","408","409","435","439","443","464","475","499","531","534","537","61","715","740","748","765","818","838","841","851","854","900","906","952","956","969","972","985"
117,0.004149531990679152,"113","120","14","143","148","152","154","188","199","305","413","431","434","435","438","443","474","516","554","58","585","629","696","740","798","849","859","867","873","900","906","936","939","95","952"
118,0.00019356269216987945,"106","113","152","158","195","246","26","263","272","310","32","320","325","34","387","434","435","443","446","468","479","518","560","563","566","583","584","587","59","615","75","786","900","906","962"
119,0.0017212279552434931,"152","209","214","226","230","242","274","283","315","434","435","44","443","471","497","499","50","593","61","669","687","689","692","70","713","715","733","740","753","826","900","906","941","963","991"
120,0.0029770877144268708,"158","260","284","378","403","407","413","416","435","443","464","49","493","504","512","519","525","531","568","592","643","677","759","767","772","793","84","874","900","906","928","935","967","994","999"
121,0.0028523338440099772,"182","235","288","382","384","399","435","443","476","499","535","578","580","595","62","669","675","676","682","718","729","744","762","797","865","872","885","900","906","930","951","964","982","984","991"
122,0.001487499154131542,"102","168","21","227","239","257","261","271","279","330","353","357","386","4","435","437","443","467","48","504","531","559","591","61","610","69","713","753","769","806","808","900","906","93","936"
123,0.0019668603997564714,"106","120","131","152","192","195","234","237","301","304","31","326","364","365","368","432","435","443","508","526","567","596","604","661","663","725","75","761","801","831","877","900","906","91","990"
124,0.002479443018138075,"106","113","115","120","134","158","195","197","234","24","292","308","310","312","32","320","354","359","37","421","435","443","449","456","579","603","607","612","667","694","697","75","900","906","91"
125,0.00041112924967706536,"105","115","237","254","258","277","278","319","339","354","363","387","434","435","441","443","457","478","479","48","486","5","555","625","634","647","702","786","860","900","906","925","948","967","995"
126,0.00141038209211568,"110","120","173","227","287","304","318","34","343","373","430","435","443","452","456","531","554","586","59","603","694","697","700","701","703","708","709","716","723","80","900","906","936","985","986"
127,0.001957943266062667,"11","15","180","193","228","231","238","285","32","399","413","422","435","45","46","466","472","475","482","490","504","506","509","531","540","632","713","728","75","753","789","797","844","856","864"
128,0.0009834853516017866,"152","186","243","256","258","351","361","362","363","368","370","387","391","396","427","435","443","457","463","571","594","598","599","600","662","686","842","9","90","900","906","922","967","992","999"
129,6.49194534366844e-05,"106","120","134","152","195","22","234","237","32","323","327","328","334","355","435","443","527","616","643","656","659","663","672","674","677","75","76","763","77","776","840","854","906","91","922"
130,0.0018394113831547991,"120","134","152","168","184","186","190","204","249","258","268","274","360","368","399","417","435","443","495","515","606","734","74","843","856","861","863","876","900","91","918","943","952","970","986"
131,0.0010301728680018078,"106","108","126","128","168","214","226","230","241","330","349","386","415","422","435","443","450","475","493","519","623","658","715","75","756","778","783","826","900","906","928","93","934","937","951"
132,4.602562744120253e-05,"100","134","195","219","220","227","264","304","32","337","368","406","408","409","435","436","443","523","531","701","812","819","822","825","827","834","835","838","841","851","854","900","906","922","985"
133,0.00013408892585851736,"108","111","120","134","152","173","186","227","235","275","28","283","435","443","458","465","503","523","559","602","609","710","715","721","733","756","797","856","858","906","91","932","959","973","98"
134,0.0003940894049899674,"1","120","163","235","274","280","3","387","399","427","435","436","443","482","537","543","546","548","625","790","791","795","797","900","905","906","91","926","928","943","956","969","97","972","993"
135,0.0009191554183281516,"106","113","151","152","158","186","195","212","32","341","435","443","450","453","477","479","502","51","529","538","54","550","575","58","59","598","636","75","783","786","845","900","906","91","916"
136,0.0015053246062862397,"120","204","290","302","323","355","373","399","404","435","443","482","516","531","586","672","674","723","729","734","744","762","833","867","895","897","900","906","91","918","962","966","985","986","999"
137,0.0005212261808846072,"108","200","231","24","32","322","324","350","36","38","435","443","449","47","487","499","545","666","671","753","767","774","778","793","899","900","903","906","909","910","911","950","958","960","991"
138,0.001493231360356109,"106","118","120","142","180","207","227","32","349","435","450","491","500","531","58","623","722","735","738","778","783","789","796","848","849","861","870","871","91","918","934","937","973","985","996"
139,0.0010085848579944581,"106","127","131","150","186","233","253","295","296","297","413","422","435","443","490","500","585","604","639","705","707","709","720","724","741","75","751","764","775","831","864","892","900","906","955"
140,0.0006591327097437847,"108","111","115","120","150","173","174","18","198","291","303","33","354","357","435","493","507","542","591","61","611","633","638","678","717","75","860","876","889","91","946","958","96","971","998"
141,0.002078248706105398,"102","12","139","152","161","208","221","279","335","341","388","403","425","434","435","441","443","454","502","516","518","53","535","545","554","559","56","635","719","740","762","794","839","900","906"
142,0.002937687419022682,"147","179","186","202","203","298","306","316","346","363","380","387","420","435","443","457","459","487","488","625","628","634","655","702","774","900","906","919","923","928","938","967","983","995","999"
143,0.0021616743927179633,"189","191","203","226","230","231","234","237","258","292","357","364","365","387","432","435","443","445","487","498","565","596","601","625","629","646","651","661","826","833","842","868","885","900","906"
144,0.0004086176792977928,"165","218","248","251","299","357","361","413","414","435","443","482","491","493","500","504","51","510","571","591","598","605","639","662","724","74","760","828","830","9","900","906","951","979","996"
145,0.0008221556119077817,"10","102","111","150","168","169","173","178","217","222","232","416","435","443","475","514","520","532","559","61","65","678","76","83","84","870","871","874","879","900","902","906","931","958","994"
146,0.0019168342256238933,"152","164","174","182","267","274","291","368","392","399","433","435","443","487","499","507","511","576","577","587","590","671","702","707","738","796","845","846","900","906","912","928","930","963","991"
147,0.002548039850402518,"13","134","159","173","22","233","262","32","338","406","408","409","435","443","501","52","587","645","654","707","739","745","746","747","75","838","841","851","854","900","906","908","91","951","962"
148,0.0018754943875901075,"120","134","152","173","184","190","233","249","319","360","414","417","435","443","482","495","515","54","575","605","606","710","713","74","760","833","876","882","906","91","935","943","945","950","96"
149,0.0017647493681613698,"130","139","150","152","168","186","192","221","224","245","39","425","435","443","465","496","508","562","567","589","595","61","669","69","740","745","763","765","807","872","886","900","906","956","969"
150,0.0006091460528543145,"1","104","110","120","134","3","356","435","441","443","455","487","529","537","554","557","59","61","678","685","710","713","813","832","863","865","872","891","893","895","900","906","956","969","972"
151,0.0009450082658535885,"107","112","149","192","213","219","235","254","264","327","328","350","363","387","435","443","452","479","487","619","620","625","626","659","669","731","740","769","773","794","797","822","833","900","906"
152,0.0011045980124844619,"106","113","122","152","186","241","258","276","32","347","359","371","419","431","435","443","444","457","459","557","59","618","624","655","711","742","75","750","842","900","906","917","919","953","995"
153,0.0013438513548403542,"120","134","137","173","356","368","386","40","425","435","443","519","525","536","543","548","582","608","613","702","704","75","780","790","795","832","833","842","900","906","91","922","937","97","99"
154,2.2673145731886012e-13,"106","12","154","21","253","274","278","358","365","366","368","371","401","435","443","444","449","461","483","492","512","535","572","626","654","662","706","762","778","872","900","906","928","935","951"
155,0.0006924504706292995,"152","154","181","242","258","268","274","302","349","350","363","387","434","435","443","450","494","50","593","625","64","7","713","733","753","769","783","857","900","906","934","939","940","942","965"
156,0.0029878944422513988,"13","14","186","188","202","223","258","29","337","363","435","438","443","482","496","58","682","702","726","727","768","776","798","799","80","861","866","873","898","900","906","91","95","967","995"
157,0.00122298654032927,"111","125","186","240","249","258","288","360","363","382","387","435","443","444","474","495","496","497","515","516","535","554","606","866","888","894","900","906","930","933","943","953","955","964","982"
158,0.0015876199789769032,"120","134","152","158","186","208","258","265","277","278","345","346","377","386","397","412","418","424","435","443","478","483","514","54","555","575","59","65","900","906","925","93","936","971","999"
159,0.0023365989085447347,"100","110","126","13","150","186","207","229","231","258","274","334","363","368","406","408","435","442","443","576","656","715","745","75","756","768","776","810","817","838","841","863","900","906","933"
160,0.0012664682840282787,"116","152","181","186","268","274","342","367","399","435","441","443","453","461","469","508","529","530","538","550","556","567","572","660","670","701","762","788","815","853","885","900","906","928","931"
161,0.002253483151874534,"160","195","228","313","357","36","364","403","407","435","443","493","516","527","53","535","56","561","584","59","643","671","711","719","740","762","77","840","85","872","900","906","909","922","955"
